transaction_id,date,description,amount,balance,account,currency
TXN100124,2026-03-24,Fuel Station,-450,85916,Checking,BDT
TXN100125,2026-03-25,Bank Interest,350,86266,Checking,BDT
TXN100126,2026-03-25,Parking Fee,-220,86046,Checking,BDT
TXN100127,2026-03-26,Fuel Station,-320,85726,Checking,BDT
TXN100128,2026-03-27,Pathao,-650,85076,Checking,BDT
TXN100129,2026-03-28,Performance Bonus,8000,93076,Checking,BDT
TXN100130,2026-03-28,Metro Rail,-450,92626,Checking,BDT
TXN100131,2026-03-28,Lazz Pharma,-2500,90126,Checking,BDT
TXN100132,2026-03-29,Pizza Hut,-650,89476,Checking,BDT
TXN100133,2026-03-29,Uber,-650,88826,Checking,BDT
TXN100134,2026-03-30,Pizza Hut,-320,88506,Checking,BDT
TXN100135,2026-03-31,Aarong,-1200,87306,Checking,BDT
TXN100136,2026-04-01,Salary,50000,137306,Checking,BDT
TXN100137,2026-04-01,Courier Service,-500,136806,Checking,BDT
TXN100138,2026-04-02,Domino's,-650,136156,Checking,BDT
TXN100139,2026-04-03,Pizza Hut,-650,135506,Checking,BDT
TXN100140,2026-04-04,Lazz Pharma,-900,134606,Checking,BDT
TXN100141,2026-04-04,Cafe Rio,-850,133756,Checking,BDT
TXN100142,2026-04-05,Grameenphone Bill,-1200,132556,Checking,BDT
TXN100143,2026-04-05,Metro Rail,-220,132336,Checking,BDT
TXN100144,2026-04-05,North End Coffee,-250,132086,Checking,BDT
TXN100145,2026-04-06,Bus Ticket,-320,131766,Checking,BDT
TXN100146,2026-04-07,Electronics Store,-1800,129966,Checking,BDT
TXN100147,2026-04-08,Electricity Bill,-2500,127466,Checking,BDT
TXN100148,2026-04-08,Pizza Hut,-250,127216,Checking,BDT
TXN100149,2026-04-09,Bank Charge,-100,127116,Checking,BDT
TXN100150,2026-04-10,DESCO BILL,-1200,125916,Checking,BDT
TXN100151,2026-04-10,Domino's,-450,125466,Checking,BDT
TXN100152,2026-04-11,YouTube Premium,-799,124667,Checking,BDT
TXN100153,2026-04-11,Fuel Station,-450,124217,Checking,BDT
TXN100154,2026-04-12,Bata,-900,123317,Checking,BDT
TXN100155,2026-04-12,Domino's,-650,122667,Checking,BDT
TXN100156,2026-04-13,Doctor Consultation,-650,122017,Checking,BDT
TXN100157,2026-04-14,Shwapno,-900,121117,Checking,BDT
TXN100158,2026-04-15,Freelance Payment,12000,133117,Checking,BDT
TXN100159,2026-04-15,Agora,-900,132217,Checking,BDT
TXN100160,2026-04-16,Pizza Hut,-650,131567,Checking,BDT
TXN100161,2026-04-17,Takeout Food,-650,130917,Checking,BDT
TXN100162,2026-04-18,Donation,-250,130667,Checking,BDT
TXN100163,2026-04-18,Star Kabab,-250,130417,Checking,BDT
TXN100164,2026-04-19,Donation,-100,130317,Checking,BDT
TXN100165,2026-04-19,Sultan's Dine,-1200,129117,Checking,BDT
TXN100166,2026-04-20,Pathao,-220,128897,Checking,BDT
TXN100167,2026-04-21,Parking Fee,-180,128717,Checking,BDT
TXN100168,2026-04-22,KFC DHAKA,-450,128267,Checking,BDT
TXN100169,2026-04-23,KFC DHAKA,-1200,127067,Checking,BDT
TXN100170,2026-04-24,Pathao,-450,126617,Checking,BDT
TXN100171,2026-04-25,Bank Interest,350,126967,Checking,BDT
TXN100172,2026-04-25,Bus Ticket,-120,126847,Checking,BDT
TXN100173,2026-04-25,Electronics Store,-6500,120347,Checking,BDT
TXN100174,2026-04-26,Bus Ticket,-450,119897,Checking,BDT
TXN100175,2026-04-26,Pathao,-180,119717,Checking,BDT
TXN100176,2026-04-27,Parking Fee,-650,119067,Checking,BDT
TXN100177,2026-04-28,Electronics Store,-1800,117267,Checking,BDT
TXN100178,2026-04-29,Bank Charge,-100,117167,Checking,BDT
TXN100179,2026-04-30,Sultan's Dine,-650,116517,Checking,BDT
